type_ecologique,type_ecologique_description_fr,type_ecologique_description_en
MS12,"Sapiniere a bouleau jaune sur depot mineral de mince a epais, de texture moyenne, de drainage mesique","Balsam fir-yellow birch stand on a thin-to-thick mineral deposit, medium texture, mesic drainage"
MS13,"Sapiniere a bouleau jaune sur depot mineral de mince a epais, de texture fine, de drainage mesique","Balsam fir-yellow birch stand on a thin-to-thick mineral deposit, fine texture, mesic drainage"
MS15,"Sapiniere a bouleau jaune sur depot mineral de mince a epais, de texture moyenne, de drainage subhydrique","Balsam fir-yellow birch stand on a thin-to-thick mineral deposit, medium texture, subhydric drainage"
MS20,"Sapiniere a bouleau blanc sur depot tres mince, de texture variee, de drainage de xerique a hydrique","Balsam fir-white birch stand on a very thin deposit, variable texture, drainage from xeric to hydric"
MS21,"Sapiniere a bouleau blanc sur depot mineral de mince a epais, de texture grossiere, de drainage xerique ou mesique","Balsam fir-white birch stand on a thin-to-thick mineral deposit, coarse texture, xeric or mesic drainage"
MS22,"Sapiniere a bouleau blanc sur depot mineral de mince a epais, de texture moyenne, de drainage mesique","Balsam fir-white birch stand on a thin-to-thick mineral deposit, medium texture, mesic drainage"
MS23,"Sapiniere a bouleau blanc sur depot mineral de mince a epais, de texture fine, de drainage mesique","Balsam fir-white birch stand on a thin-to-thick mineral deposit, fine texture, mesic drainage"
MS25,"Sapiniere a bouleau blanc sur depot mineral de mince a epais, de texture moyenne, de drainage subhydrique","Balsam fir-white birch stand on a thin-to-thick mineral deposit, medium texture, subhydric drainage"
MS26,"Sapiniere a bouleau blanc sur depot mineral de mince a epais, de texture fine, de drainage subhydrique","Balsam fir-white birch stand on a thin-to-thick mineral deposit, fine texture, subhydric drainage"
MS43,"Sapiniere a bouleau blanc montagnarde sur depot mineral de mince a epais, de texture fine, de drainage mesique","Montane balsam fir-white birch stand on a thin-to-thick mineral deposit, fine texture, mesic drainage"
MS62,"Sapiniere a erable rouge sur depot mineral de mince a epais, de texture moyenne, de drainage mesique","Balsam fir-red maple stand on a thin-to-thick mineral deposit, medium texture, mesic drainage"
MS63,"Sapiniere a erable rouge sur depot mineral de mince a epais, de texture fine, de drainage mesique","Balsam fir-red maple stand on a thin-to-thick mineral deposit, fine texture, mesic drainage"
RB52,"Pessiere blanche issue de broutage sur depot mineral de mince a epais, de texture moyenne, de drainage mesique","White spruce browsing-origin stand on a thin-to-thick mineral deposit, medium texture, mesic drainage"
RB53,"Pessiere blanche issue de broutage sur depot mineral de mince a epais, de texture fine, de drainage mesique","White spruce browsing-origin stand on a thin-to-thick mineral deposit, fine texture, mesic drainage"
RE11,"Pessiere noire a lichens sur depot mineral de mince a epais, de texture grossiere, de drainage xerique ou mesique","Black spruce-lichen stand on a thin-to-thick mineral deposit, coarse texture, xeric or mesic drainage"
RE12,"Pessiere noire a lichens sur depot mineral de mince a epais, de texture moyenne, de drainage mesique","Black spruce-lichen stand on a thin-to-thick mineral deposit, medium texture, mesic drainage"
RE20,"Pessiere noire a mousses ou ericacees sur depot tres mince, de texture variee, de drainage de xerique a hydrique","Black spruce-moss or heath stand on a very thin deposit, variable texture, drainage from xeric to hydric"
RE21,"Pessiere noire a mousses ou ericacees sur depot mineral de mince a epais, de texture grossiere, de drainage xerique ou mesique","Black spruce-moss or heath stand on a thin-to-thick mineral deposit, coarse texture, xeric or mesic drainage"
RE22,"Pessiere noire a mousses ou ericacees sur depot mineral de mince a epais, de texture moyenne, de drainage mesique","Black spruce-moss or heath stand on a thin-to-thick mineral deposit, medium texture, mesic drainage"
RE23,"Pessiere noire a mousses ou ericacees sur depot mineral de mince a epais, de texture fine, de drainage mesique","Black spruce-moss or heath stand on a thin-to-thick mineral deposit, fine texture, mesic drainage"
RE24,"Pessiere noire a mousses ou ericacees sur depot mineral de mince a epais, de texture grossiere, de drainage subhydrique","Black spruce-moss or heath stand on a thin-to-thick mineral deposit, coarse texture, subhydric drainage"
RE25,"Pessiere noire a mousses ou ericacees sur depot mineral de mince a epais, de texture moyenne, de drainage subhydrique","Black spruce-moss or heath stand on a thin-to-thick mineral deposit, medium texture, subhydric drainage"
RE37,"Pessiere noire a sphaignes sur depot mineral de mince a epais, de drainage hydrique, ombrotrophe","Black spruce-sphagnum stand on a thin-to-thick mineral deposit, hydric drainage, ombrotrophic"
RE38,"Pessiere noire a sphaignes sur depot organique ou mineral de mince a epais, de drainage hydrique, minerotrophe","Black spruce-sphagnum stand on an organic or mineral thin-to-thick deposit, hydric drainage, minerotrophic"
RE39,"Pessiere noire a sphaignes sur depot organique de mince a epais, de drainage hydrique, ombrotrophe","Black spruce-sphagnum stand on a thin-to-thick organic deposit, hydric drainage, ombrotrophic"
RP11,"Pinede blanche ou pinede rouge sur depot mineral de mince a epais, de texture grossiere, de drainage xerique ou mesique","White pine or red pine stand on a thin-to-thick mineral deposit, coarse texture, xeric or mesic drainage"
RP12,"Pinede blanche ou pinede rouge sur depot mineral de mince a epais, de texture moyenne, de drainage mesique","White pine or red pine stand on a thin-to-thick mineral deposit, medium texture, mesic drainage"
RS10,"Sapiniere a thuya sur depot tres mince, de texture variee, de drainage de xerique a hydrique","Balsam fir-northern white-cedar stand on a very thin deposit, variable texture, drainage from xeric to hydric"
RS12,"Sapiniere a thuya sur depot mineral de mince a epais, de texture moyenne, de drainage mesique","Balsam fir-northern white-cedar stand on a thin-to-thick mineral deposit, medium texture, mesic drainage"
RS13,"Sapiniere a thuya sur depot mineral de mince a epais, de texture fine, de drainage mesique","Balsam fir-northern white-cedar stand on a thin-to-thick mineral deposit, fine texture, mesic drainage"
RS15,"Sapiniere a thuya sur depot mineral de mince a epais, de texture moyenne, de drainage subhydrique","Balsam fir-northern white-cedar stand on a thin-to-thick mineral deposit, medium texture, subhydric drainage"
RS16,"Sapiniere a thuya sur depot mineral de mince a epais, de texture fine, de drainage subhydrique","Balsam fir-northern white-cedar stand on a thin-to-thick mineral deposit, fine texture, subhydric drainage"
RS20,"Sapiniere a pinette noire sur depot tres mince, de texture variee, de drainage de xerique a hydrique","Balsam fir-black spruce stand on a very thin deposit, variable texture, drainage from xeric to hydric"
RS21,"Sapiniere a pinette noire sur depot mineral de mince a epais, de texture grossiere, de drainage xerique ou mesique","Balsam fir-black spruce stand on a thin-to-thick mineral deposit, coarse texture, xeric or mesic drainage"
RS22,"Sapiniere a pinette noire sur depot mineral de mince a epais, de texture moyenne, de drainage mesique","Balsam fir-black spruce stand on a thin-to-thick mineral deposit, medium texture, mesic drainage"
RS22M,"Sapiniere a pinette noire sur depot mineral de mince a epais, de texture moyenne, de drainage mesique, en mi-pente","Balsam fir-black spruce stand on a thin-to-thick mineral deposit, medium texture, mesic drainage, mid-slope"
RS23,"Sapiniere a pinette noire sur depot mineral de mince a epais, de texture fine, de drainage mesique","Balsam fir-black spruce stand on a thin-to-thick mineral deposit, fine texture, mesic drainage"
RS25,"Sapiniere a pinette noire sur depot mineral de mince a epais, de texture moyenne, de drainage subhydrique","Balsam fir-black spruce stand on a thin-to-thick mineral deposit, medium texture, subhydric drainage"
RS26,"Sapiniere a pinette noire sur depot mineral de mince a epais, de texture fine, de drainage subhydrique","Balsam fir-black spruce stand on a thin-to-thick mineral deposit, fine texture, subhydric drainage"
RS52,"Sapiniere a pinette rouge sur depot mineral de mince a epais, de texture moyenne, de drainage mesique","Balsam fir-red spruce stand on a thin-to-thick mineral deposit, medium texture, mesic drainage"
RS54,"Sapiniere a pinette rouge sur depot mineral de mince a epais, de texture grossiere, de drainage subhydrique","Balsam fir-red spruce stand on a thin-to-thick mineral deposit, coarse texture, subhydric drainage"
RS55,"Sapiniere a pinette rouge sur depot mineral de mince a epais, de texture moyenne, de drainage subhydrique","Balsam fir-red spruce stand on a thin-to-thick mineral deposit, medium texture, subhydric drainage"
RS55P,"Sapiniere a pinette rouge sur depot mineral de mince a epais, de texture moyenne, de drainage subhydrique, tres pierreux","Balsam fir-red spruce stand on a thin-to-thick mineral deposit, medium texture, subhydric drainage, very stony"
